,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
1293,," Ein anderer christlicher, nicht weniger verrückter Begriff hat sich noch weit tiefer ins Fleisch der Modernität vererbt: der Begriff von der »Gleichheit der Seelen vor Gott.«",Metapher,ins Fleisch der Modernität vererbt,ein nicht weniger verrückter Begriff,B,,P,,ja,ja,ja,ja
1294,," Alles stand bei ihnen auf einer Fläche, alles war in ein Gewebe gewoben, das Gute und Heilige nur ein Einschlag in einen breiten irdischen Zettel.",Metaphernkandidat,,,,ich verstehe den Ausdruck nicht,P,,,,,
1295,, Sie hatten aus der Religion ein irdisches Gewerbe gemacht — es gab nichts Abscheulicheres.« scheulicheres.«,Metaphernkandidat,,,,fällt das nicht unter direkten Vergleich?,P,,,,,
1296,," Das verträgt sich eben nicht zusammen: sie haben leider noch sehr viel anderes daneben, was die Demut nur allzuleicht und allzusehr überwuchert.",Metapher,nur allzuleicht und allzusehr überwuchert,die Demut,B,,P,,ja,ja,ja,ja
1297,," Der Wert unserer modernen Umwälzungen wäre in der Tat ein sehr problematischer, wenn sie allein jene Kraft beeinflußte, welche positiv schöpferisch nur zu Gunsten einer unbedingten Staatseinheit, bezüglich aller anderen Organismen aber lediglich auflösend und negierend wirkt, aus deren einseitiger Vollendung daher die Zentralisation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich sation und Mechanisierung des Staates und die Atomisierung des Volkes unausbleiblich hervorgehen müßte.",Metaphernkandidat,,,A,Atomisierung erscheint mir eher als Floskel,P,,,,,
1298,," Daß dem nicht so ist, verdanken wir dem neu erwachten Assoziationsgeist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen geist. Er, indem er von unten auf alle öffentlichen Verbände mit einem selbständigen Gemeinleben zu erfüllen strebt, indem er aber gleichzeitig die Atome, in welche das Volk sich zu lösen droht, in zahllose Neuverbindungen von organischer Struktur und eigener Lebenskraft zusammenschließt, ist daher das eigentlich positive, gestaltgebende Prinzip der neuen Epoche, welche für die deutsche Rechts- und Verfassungsentwickelung in unserem Jahrhundert angebrochen ist.",Metapher,in zahllose Neuverbindungen von organischer Struktur und eigener Lebenskraft zusammenschließt,Assoziationsgeist,B,Zu Atomisierung siehe oben (FLoskel),P,,ja,ja,ja,ja
1299,," Unter der vertrocknenden Wirkung des Zweifels, und ohne daß vielleicht das Verbrechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in brechen häufiger und die Tugend seltener geworden wäre, ist die französische Moralität in ihrem Innersten zerstört. Nichts hält mehr Stich, das Ausreißen ist vollständig.",Metapher,vertrocknenden,Wirkung des Zweifel,B,,P,,ja,ja,ja,ja
1300,, Aber das bedeutendste Ereignis war doch die Geburt und der Siegeslauf der Darwinschen Descendenztheorie. lauf der Darwinschen Descendenztheorie.,Metapher,Geburt und der Sieges-lauf,der Darwinschen Descendenztheorie.,,,A,,,,,
1301,," Sie führte nicht nur zu einer Umwälzung der Anschauungen auf den verschiedenen Gebieten der organischen Natur- wälzung der Anschauungen auf den verschiedenen Gebieten der organischen Naturwissenschaften, denen sie neue Bahnen wies, sondern auch die sogenannten wissenschaften, denen sie neue Bahnen wies, sondern auch die sogenannten Geisteswissenschaften erhielten durch den Darwinschen Entwicklungs- und Selektionsgedanken überraschendes Licht.",Metapher,Umwälzung,der Anschauung,A,,A,,x,x,x,x
1302,," Erst durch die Verschmelzung der Descendenztheorie mit der Selektionstheorie wurde die Abstammungslehre eine Macht, die trotz des heftigen Widerstandes, den alte Vorurteile und großmächtige Interessen ihr sofort entgegengesetzt haben, unaufhaltsam sich Bahn gebrochen hat und wohl auch den gerade gegenwärtig heftig gewordenen Ansturm dieser Mächte ohne Schaden bestehen wird. stehen wird.",Metaphernkandidat,,,,,A,,,,,
1303,, Aber zu Heraklits Zeit wurde der Same zu dieser Erkenntnis vergeblich ausgestreut. kenntnis vergeblich ausgestreut.,Metapher,Same,zu dieser Erkenntnis,B,,A,,x,x,x,x
1304,," Die Naturwissenschaft war nicht entwickelt genug, um sich von seinen Gedanken befruchten zu lassen und die heutige Entwicklungslehre zu reifen.",Metapher,befruchten zu lassen,Gedanken,B,,A,,x,x,x,x
1305,," Alle diese Tatsachen beweisen, daß nicht innere Bildungsgesetze, sondern äußere Lebensbedingungen 
den Pinsel geführt haben.",Metapher,den Pinsel geführt haben,äußeren Lebensbedingungen,B,,A,,x,x,x,x
1306,, In der allerneuesten Zeit ist man von der Befehdung der Darwinschen Selektionstheorie offen zum Krieg gegen die Abstammungslehre selbst schen Selektionstheorie offen zum Krieg gegen die Abstammungslehre selbst übergegangen.,Metapher,zum Krieg,gegen die Abstammungslehre,B,,A,,x,x,x,x
1307,," Durch die reichen Forschungsergebnisse der letzten Jahrzehnte über die Vorgänge bei der Reifung der Keimzellen und bei der Befruchtung ist das Dunkel, das bisher über die Tatsachen der Vererbung und der Variation lag, beträchtlich gelichtet worden.",Metaphernkandidat,,,,,A,,,,,
1308,," Das wurde in unzweifelhafter Weise zuerst 1888 und dann ausführlicher 1896 von R. Hertwig nachgewiesen, und in den letzten Jahren sind wig nachgewiesen, und in den letzten Jahren sind verschiedenen Forschern (T. H. Morgan, J. Loeb, H. E. Ziegler, H. Winkler, E. B. Wilson u. a.) noch weitere Entdeckungen auf dem Gebiete der künstlichen Parthenogenese geglückt.",Metaphernkandidat,,,,,A,,,,,
1309,," Im Frühjahr 1875 machte Oskar Hertwig unter Häckel's Augen in Ajaccio seine Entdeckungen über den Befruchtungsvorgang bei den Seeigeln, die, wie Bölsche 2) bemerkt, bis in ferne Zeiten einen Wendepunkt in igeln, die, wie Bölsche 2) bemerkt, bis in ferne Zeiten einen Wendepunkt in der Geschichte unserer Kenntnis vom geschlechtlichen Zeugungsakt, einem der tiefsten Mysterien der Natur, bilden werden.",Metaphernkandidat,,,,,A,,,,,
1310,," Natürlich war dieses wichtige Forschungsgebiet, das auf jeden Biologen so große Anziehungskraft ausübt, wie kaum ein anderer Teil seiner Wissenschaft, inzwischen unablässig Gegenstand emsigster Arbeit. stand emsigster Arbeit.",Metaphernkandidat,,,,,A,,,,,
1311,," Wie die Descendenzlehre überhaupt, ist auch das biogenetische Grundgesetz in neuester Zeit Gegenstand sachwissenschaftlicher Angriffe. stand sachwissenschaftlicher Angriffe.",Metaphernkandidat,,,,,A,,,,,
1312,," Da diese Theorie uns erst den Schlüssel zum Verständnis der Vererbungserscheinungen liefert, und da dieses Verständnis, wie ständnis der Vererbungserscheinungen liefert, und da dieses Verständnis, wie wir sehen werden, auch praktische Bedeutung hat, so muß hier, was es auch koste, der Versuch gemacht werden, eine gemeinverständliche Darstellung der Weismannschen Lehre 1) zu geben, ein Versuch, der fortwährend mit der Schwierigkeit zu kämpfen haben wird, die gebotene Rücksicht auf Kürze mit der nicht minder gebotenen Rücksichtnahme auf Gemeinverständlichkeit zu vereinbaren.",Metaphernkandidat,,,,,A,,,,,
1313,, Dem genialen Bau der Weismannschen Vererbungstheorie liegt die Lehre von der Kontinuität des Keimplasma zugunde.,Metaphernkandidat,,,,,A,,,,,
1314,," Obgleich jedes Id sämtliche zur Entwicklung eines Individuums gehörende Anlagen enthält, so ist doch die Prägung eines neuen Individuums hörende Anlagen enthält, so ist doch die Prägung eines neuen Individuums nicht einem einzelnen von ihnen anvertraut, sondern wird durch das Zusammen- und teilweise auch Entgegenwirken mehrerer Ide von individueller sammen- und teilweise auch Entgegenwirken mehrerer Ide von individueller Verschiedenheit bestimmt. Nicht das monarchische Prinzip herrscht hier, sondern es regiert die Resultante aus konkurrierenden Kräften.",Metaphernkandidat,,,,,A,,,,,
1315,," Wenn beim einen wie beim andern Elter gelegentlich Keimzellen produziert werden, bei denen die Reduktionsteilung so erfolgt, daß gerade die Ide, welche die betreffenden Vorfahrendeterminanten, beziehungsweise Gruppen solcher, noch besitzen, sämtlich in der Keim- fahrendeterminanten, beziehungsweise Gruppen solcher, noch besitzen, sämtlich in der Keimzelle enthalten sind, und wenn die Amphimixis gerade diese seltenen Keimzellen von beiden zelle enthalten sind, und wenn die Amphimixis gerade diese seltenen Keimzellen von beiden Eltern zusammenführt, so kann es — bei alten Rassen allerdings nur dann, wenn dieser Zufall sich mehrmals wiederholt und seine Ergebnisse sich anhäufen — dazu kommen, daß die alten, nicht abgeänderten Determinanten bei der Ontogenese den Sieg über die modernen erringen.",Metaphernkandidat,,,,,A,,,,,
1316,," ""Wenn 2 weiße oder 2 schwarze Tauben gut begründeter Rassen gepaart werden, so erben die Nachkommen beinahe sicher dieselben Farben; werden aber verschieden gefärbte Taubenrassen gekreuzt, so wirken offenbar die einander entgegengesetzten Kräfte der Vererbung gegeneinander und die — beiden Eltern inhärente — Neigung, schieferblaue, d. h. zur Stammform zurückschlagende Nachkommen zu erzeugen, gewinnt die Oberhand 2).""",Metaphernkandidat,,,,,A,,,,,
1317,," Es kann z. B. vorkommen, daß die Determinantenart a in allen oder fast allen väterlichen Iden homodynam ist (a1), während sie in den mütterlichen Iden nur durch eine Minorität (a1) vertreten ist und die große Mehrheit der mütterlichen Ide eine andere Variante (a2) dieser Determinantenart besitzt. Nach erfolgter Amphimixis wird die im mütterlichen Keimplasma dominierende Variante (a2) gegenüber der im väterlichen dominierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 nierenden (a1) in die Minorität geraten, da die a1 aus den mütterlichen Iden mit den a1 aus den väterlichen homodynam sind, während a2 auf der väterlichen Seite keine Bundesgenossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine genossen vorfindet, wenn dort alle Ide die Variante a1 haben oder auch, wenn eine kleine Minorität auf der väterlichen Seite zwar nicht a1, aber auch nicht a2, sondern eine Variante a3 besitzt.",Metaphernkandidat,,,,,A,,,,,
1318,," Jede Änderung bereitet sich langer Hand allmählich vor, ehe sie sichtbar wird.",Metaphernkandidat,,,,,A,,,,,
1319,," Sobald aber das Herabsinken einen Punkt erreicht, auf dem die Existenzfähigkeit beeinträchtigt wird, greift die Naturzüchtung ausmerzend wieder ein und ver- einträchtigt wird, greift die Naturzüchtung ausmerzend wieder ein und verhindert dadurch ein weiteres Sinken. Unter Umständen kann sich dieses Aus- hindert dadurch ein weiteres Sinken. Unter Umständen kann sich dieses Ausmerzen auf ganze Stämme und Völker erstrecken, bei Tieren wie bei Menschen. merzen auf ganze Stämme und Völker erstrecken, bei Tieren wie bei Menschen.",Metapher,greift ausmerzend ein,Naturzüchtung,,,A,,,,,
1320,," Die feine Einstellung der Variationen aber wird durch Selektionsvorgänge zwischen den Elementen des Keimes bewirkt, deren Richtung jedoch durch die Personalselektion bestimmt wird, sofern diese entweder die Plus- oder die Minus- variationen ausmerzt, sobald sie Selektionswert erreichen, und dadurch die Keimvariationen der entgegengesetzten Seite zutreibt. treibt.",Metapher,ausmerzt,,,,A,,,,,
1321,," Speziell in diesen Fällen waltet diese allerdings glücklicherweise auch trotz unserer Kulturverhältnisse ihres Amtes, wenn auch sehr viel langsamer, da unter diesen verhältnisse ihres Amtes, wenn auch sehr viel langsamer, da unter diesen Kulturzuständen auch Personen mit stark psychopathischen Variationen in ziemlich weitem Umfang Existenz und Fortpflanzung gewährleistet werden.",Metaphernkandidat,,,,,A,,,,,
1322,," Nur wenige der dargebotenen Variationsrichtungen werden auf der Bahn liegen, welche die Artentwicklung einschlägt. Den andern wird durch Personalselektion Einhalt getan.",Metaphernkandidat,,,,,A,,,,,
1323,," Sie leistet aber noch mehr als diese, weil sie das Parallelgehen der Keim- anlagen mit jeder Nützlichkeitsschwankung erklärt, nicht nur bei aktiver Funktion, sondern auch bei blos passiver Nützlichkeit.",Metaphernkandidat,,,,,A,,,,,
1324,," Auch läßt er die Frage nicht unbeantwortet, auf welche Weise überhaupt Änderungen der Keime entstehen konnten, und wie sich ihre Zahl ins Endlose vermehren mußte.",Metaphernkandidat,,,,,A,,,,,
1325,, Die Koadaption ist hiebei keineswegs das einzige dunkle Gebiet.,Metaphernkandidat,,,,,A,,,,,
1326,," Daß wir die Vorbedingungen für alle persönlichen Vorzüge mit auf die Welt bringen müssen, und daß unser ganzes Lebensglück weit mehr durch uns angeborene, d. h. ererbte Anlagen bedingt ist als durch irgend etwas anderes, ist keine neue Wahrheit.",Metaphernkandidat,,,,,A,,,,,
1327,," Es ist aber fraglich, ob jene Rassentheoretiker und Rassenpolitiker, die heute die Pfade begehen, welche der mit kühner Phantasie begabte Dichtergelehrte Joseph Arthur Gobineau mit seinem Essai sur l'inégalité des races humaines (4 Bände, Paris 1858-1855)2) eingeschlagen hat, und auf denen ihm zunächst eine Zeit lang niemand zufolgen Neigung zeigte, sich wirklich auf festem wissenschaftlichem Grund bewegen.",Metaphernkandidat,,,,,A,,,,,
1328,," Das hindert aber nicht, daß es überall als vollwertige Münze angenommen wird. Denn es besteht nun einmal das Bedürfnis nach gangbarer Münze.",Metaphernkandidat,,,,,A,,,,,
1329,, Jedenfalls ist die Aufstellung eines in der menschlichen Natur begründeten Sinnes für individuelles Eigentum selbst gegenüber einer befürchteten Torheit eine zu gebrechliche Waffe. viduelles Eigentum selbst gegenüber einer befürchteten Torheit eine zu gebrechliche Waffe.,Metaphernkandidat,,,,,A,,,,,
1330,, Kein höheres sittliches Bestreben hätte ohne diese Anlage je in uns aufkeimen und Wurzel fassen können; denn nur dieses instinktive Gefühl der Abhängigkeit von dem Urteil unserer Genossen konnte zu sittlichen Urteilen und in weiterer Entwicklung bei vielen Menschen zu der subtilen Bildung eines Gewissens wicklung bei vielen Menschen zu der subtilen Bildung eines Gewissens führen.,Metapher, aufkeimen und Wurzel fassen,Anlage,,Redewendung,A,,,,,
1331,, Aber das Licht der Selektionstheorie reicht noch weiter.,Metaphernkandidat,,,,,A,,,,,
1332,," ist freilich nicht ganz passend für dieses ewige mörderische Ringen um das Dasein auf einem über die ganze Erde, ihre Meere und ihren Luftkreis ausgedehnten Kriegsschauplatz. Dieser gewaltige Daseinskampf, der den Siegern die Fortdauer in der Nachkommenschaft, den Unterliegenden das Erlöschen ihres Stammes bringt, hatte bis zu Darwin keinen einzigen aufmerksamen Zuschauer gehabt. Seit Darwin hat der Mensch den Vorzug, nicht nur Teilnehmer, sondern auch Beobachter dieses großen Kampfes zu sein. Diese ungewohnte Zuschauerrolle, die uns Darwin verschaffte, wäre ein recht zweifelhafter Gewinn, sofern es sich nur um die ästhetischen Eindrücke des Erschauten handelt; denn ein Vergnügen ist es kaum, sich die drücke des Erschauten handelt; denn ein Vergnügen ist es kaum, sich die unerbittliche Grausamkeit dieses endlosen Vernichtungskrieges der Natur gegen lebende Wesen und dieser unter sich vor Augen führeu zu lassen.",Metapher,endlosen Vernichtungskrieges der Natur,gegen lebende Wesen,A,,A,,x,x,x,x
1333,," „Wir können uns kaum der Annahme entziehen, daß die menschliche Natur . . . durch Ausscheidung und Auslese einer weiteren tiefen Veränderung unterzogen wird, daß in der Fähigkeit seiner Muskeln und noch mehr in der Denkkraft seines Hirns eine ungeheure Hebung eintreten wird; ja daß sogar besondere soziale Eigenschaften mit Einschluß geheure Hebung eintreten wird; ja daß sogar besondere soziale Eigenschaften mit Einschluß einer angeborenen Neigung zur Aufnahme sozialer Gebote, ohne die soziales Leben nun einmal unmöglich ist, der physischen Organisation der höchsten Rassen eingeboren werden können - aber ohne Zweifel ist diese besondere Quelle des Fortschritts heute fast ganz verstopft.“ Dieser Nachsatz dürfte mit den Vordersätzen nur dann vereinbar sein, wenn Balfour die Möglichkeit im Auge hat, daß diese Quelle in der Zukunft nicht wie heute verstopft sein werde.",Metapher,fast ganz verstopft,Quelle des Fortschritts,B,,A,,x,x,x,x
1334,," Denn selbst wenn sich der Mensch durch die Hunderte von Jahrtausenden hindurch, die hiezu vielleicht nötig wären, ständig den Luxus gestatten könnte, sich eine Eigenschaft anzuzüchten, die ihn im Daseinskampf nicht fördert, so würde ihm doch die hier erforderliche Züchterkenntnis vollständig fehlen, und die Züchtungsversuche müßten vollständig im Dunklen tappen.",Metaphernkandidat,,,,,A,,,,,
